CFSProbComp,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Public Service Department
Completed Work Orders by Problem Type",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Page:,1
Date:,,,01/18/2019,,,,,,,,,,,,,,,,,,
,,,,,,,,01/01/2018,,,to,,12/31/2018,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TOTALS FOR PS TYPE: PS10 Pothole,,,,,,,,,,,,,,,,,,,,,
,WO Num,,,,,                 Created,,,Completed,,,,,Organ,Ctr,WO Units,,,Weight,,
,WO-PS-18-003323,,,,,3/1/2018 9:51 AM,,,3/5/2018 12:00 AM,,,,,43172,101 ,1,,,0,,
,WO-PS-18-003325,,,,,3/1/2018 10:16 AM,,,3/1/2018 12:00 AM,,,,,43175,506 ,1,,,"2,055",,
,WO-PS-18-003339,,,,,3/1/2018 12:58 PM,,,3/2/2018 12:00 AM,,,,,43172,209 ,11,,,0,,
,WO-PS-18-003347,,,,,3/1/2018 1:12 PM,,,3/1/2018 12:00 AM,,,,,43173,307 ,1.05,,,1,,
,WO-PS-18-003362,,,,,3/1/2018 4:58 PM,,,3/2/2018 12:00 AM,,,,,43174,405 ,0,,,0,,
,WO-PS-18-003397,,,,,3/2/2018 10:05 AM,,,3/5/2018 12:00 AM,,,,,43172,210 ,1,,,0,,
,WO-PS-18-003405,,,,,3/2/2018 12:13 PM,,,3/5/2018 12:00 AM,,,,,43175,502 ,2,,,"2,002",,
,WO-PS-18-003428,,,,,3/2/2018 1:34 PM,,,3/2/2018 12:00 AM,,,,,43173,303 ,1,,,1,,
,WO-PS-18-003440,,,,,3/2/2018 4:29 PM,,,3/5/2018 12:00 AM,,,,,43172,210 ,1,,,0,,
,WO-PS-18-003453,,,,,3/5/2018 7:54 AM,,,3/2/2018 12:00 AM,,,,,43174,400 ,1.06,,,1,,
,WO-PS-18-003470,,,,,3/5/2018 10:10 AM,,,3/6/2018 12:00 AM,,,,,43174,410 ,0,,,0,,
,WO-PS-18-003474,,,,,3/5/2018 11:14 AM,,,3/5/2018 12:00 AM,,,,,43172,210 ,1,,,0,,
,WO-PS-18-003491,,,,,3/5/2018 12:44 PM,,,3/5/2018 12:00 AM,,,,,43172,200 ,1,,,"2,115",,
,WO-PS-18-003498,,,,,3/5/2018 1:15 PM,,,3/5/2018 12:00 AM,,,,,43173,302 ,1,,,1,,
,WO-PS-18-003523,,,,,3/5/2018 2:37 PM,,,3/6/2018 12:00 AM,,,,,43172,204 ,1,,,0,,
,WO-PS-18-003548,,,,,3/6/2018 8:08 AM,,,3/5/2018 12:00 AM,,,,,43174,400 ,1.05,,,1,,
,WO-PS-18-003551,,,,,3/6/2018 8:29 AM,,,3/6/2018 12:00 AM,,,,,43175,506 ,0,,,0,,
,WO-PS-18-003554,,,,,3/6/2018 8:52 AM,,,3/2/2018 12:00 AM,,,,,43176,600 ,1,,,1,,
,WO-PS-18-003597,,,,,3/6/2018 2:03 PM,,,3/6/2018 12:00 AM,,,,,43173,303 ,1.07,,,1,,
,WO-PS-18-003600,,,,,3/6/2018 2:22 PM,,,3/6/2018 12:00 AM,,,,,43175,507 ,2,,,"2,016",,
,WO-PS-18-003626,,,,,3/7/2018 6:54 AM,,,3/6/2018 12:00 AM,,,,,43172,200 ,1,,,"1,980",,
,WO-PS-18-003627,,,,,3/7/2018 7:07 AM,,,3/5/2018 12:00 AM,,,,,43176,600 ,1,,,1,,
,WO-PS-18-003638,,,,,3/7/2018 7:31 AM,,,3/6/2018 12:00 AM,,,,,43176,605 ,1,,,1,,
,WO-PS-18-003639,,,,,3/7/2018 7:32 AM,,,3/6/2018 12:00 AM,,,,,43174,400 ,1.06,,,1,,
,WO-PS-18-003667,,,,,3/7/2018 12:21 PM,,,3/8/2018 12:00 AM,,,,,43172,210 ,3,,,0,,
,WO-PS-18-003681,,,,,3/7/2018 1:14 PM,,,3/7/2018 12:00 AM,,,,,43173,307 ,0.99,,,1,,
,WO-PS-18-003683,,,,,3/7/2018 1:47 PM,,,3/7/2018 12:00 AM,,,,,43175,504 ,1,,,"2,002",,
,WO-PS-18-003703,,,,,3/7/2018 3:49 PM,,,3/8/2018 12:00 AM,,,,,43175,509 ,2,,,"1,997",,
,WO-PS-18-003716,,,,,3/8/2018 7:39 AM,,,3/7/2018 12:00 AM,,,,,43174,400 ,1.06,,,1,,
,WO-PS-18-003725,,,,,3/8/2018 8:20 AM,,,3/7/2018 12:00 AM,,,,,43172,200 ,3,,,"6,128",,
